Year_;Month_;Organization;Region;Country;Type;Spend;Leads Eligible - Total;Offline Spend per Leads Methodology;Offline Spend Real
2024;1;Open English Junior;LATAM;Bolivia;SEO;$ 0;3;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Bolivia;Direct;$ 0;4;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Bolivia;Agent Created;$ 0;8;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Bolivia;Unknown;$ 0;2;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Bolivia;TV Cable;$ 4,716;0;$ 4,716.31;$ 0.00
2024;1;Open English Junior;LATAM;Chile;SEM-Brand;$ 2,736;651;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Chile;SEO;$ 0;82;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Chile;Direct;$ 0;32;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Chile;Agent Created;$ 0;54;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Chile;Unknown;$ 0;24;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Chile;Desktop LP Login;$ 0;3;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Chile;Mobile App;$ 0;2;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Chile;TV Cable;$ 30,947;0;$ 30,946.86;$ 0.00
2024;1;Open English Junior;LATAM;Colombia;SEM-Brand;$ 10,255;1,927;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Colombia;SEO;$ 0;263;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Colombia;Direct;$ 0;114;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Colombia;Agent Created;$ 0;204;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Colombia;Unknown;$ 0;29;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Colombia;Desktop LP Login;$ 0;3;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Colombia;Mobile App;$ 0;3;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Colombia;TV Cable;$ 82,025;0;$ 82,024.98;$ 0.00
2024;1;Open English Junior;LATAM;Costa Rica;SEM-Brand;$ 357;98;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Costa Rica;SEO;$ 0;12;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Costa Rica;Direct;$ 0;6;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Costa Rica;Agent Created;$ 0;13;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Costa Rica;Unknown;$ 0;4;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Costa Rica;TV Cable;$ 6,385;0;$ 6,384.70;$ 0.00
2024;1;Open English Junior;LATAM;Dominican Republic;SEM-Brand;$ 1,108;89;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Dominican Republic;SEO;$ 0;14;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Dominican Republic;Direct;$ 0;6;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Dominican Republic;Agent Created;$ 0;14;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Dominican Republic;Unknown;$ 0;4;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Dominican Republic;Mobile App;$ 0;1;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Dominican Republic;TV Cable;$ 8,771;0;$ 8,771.25;$ 0.00
2024;1;Open English Junior;LATAM;Ecuador;SEM-Brand;$ 873;136;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Ecuador;SEO;$ 0;21;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Ecuador;Direct;$ 0;7;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Ecuador;Agent Created;$ 0;20;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Ecuador;Unknown;$ 0;7;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Ecuador;Desktop LP Login;$ 0;0;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Ecuador;Mobile App;$ 0;0;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Ecuador;TV Cable;$ 11,771;0;$ 11,771.37;$ 0.00
2024;1;Open English Junior;LATAM;El Salvador;SEM-Brand;$ 218;57;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;El Salvador;SEO;$ 0;7;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;El Salvador;Direct;$ 0;6;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;El Salvador;Agent Created;$ 0;4;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;El Salvador;TV Cable;$ 6,245;0;$ 6,245.15;$ 0.00
2024;1;Open English Junior;LATAM;Guatemala;SEM-Brand;$ 753;195;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Guatemala;SEO;$ 0;26;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Guatemala;Direct;$ 0;18;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Guatemala;Agent Created;$ 0;29;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Guatemala;Unknown;$ 0;9;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Guatemala;Desktop LP Login;$ 0;1;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Guatemala;TV Cable;$ 12,944;0;$ 12,943.85;$ 0.00
2024;1;Open English Junior;LATAM;Honduras;SEM-Brand;$ 327;78;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Honduras;SEO;$ 0;16;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Honduras;Direct;$ 0;16;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Honduras;Agent Created;$ 0;1;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Honduras;Unknown;$ 0;4;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Honduras;Desktop LP Login;$ 0;1;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Honduras;Mobile App;$ 0;0;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Honduras;TV Cable;$ 6,838;0;$ 6,838.26;$ 0.00
2024;1;Open English Junior;LATAM;Mexico;SEM-Brand;$ 2,972;627;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Mexico;SEO;$ 0;113;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Mexico;Direct;$ 0;53;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Mexico;Agent Created;$ 0;72;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Mexico;Unknown;$ 0;27;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Mexico;Desktop LP Login;$ 0;2;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Mexico;Mobile App;$ 0;3;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Mexico;TV Cable;$ 25,966;0;$ 25,966.33;$ 24,740.39
2024;1;Open English Junior;LATAM;Nicaragua;SEM-Brand;$ 174;110;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Nicaragua;SEO;$ 0;6;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Nicaragua;Direct;$ 0;2;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Nicaragua;Agent Created;$ 0;1;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Nicaragua;TV Cable;$ 5,094;0;$ 5,093.81;$ 0.00
2024;1;Open English Junior;LATAM;Panama;SEM-Brand;$ 269;77;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Panama;SEO;$ 0;16;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Panama;Direct;$ 0;10;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Panama;Agent Created;$ 0;9;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Panama;Unknown;$ 0;5;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Panama;TV Cable;$ 5,303;0;$ 5,303.14;$ 0.00
2024;1;Open English Junior;LATAM;Paraguay;SEM-Brand;$ 23;28;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Paraguay;SEO;$ 0;6;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Paraguay;Direct;$ 0;4;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Paraguay;Unknown;$ 0;1;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Paraguay;Desktop LP Login;$ 0;1;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Paraguay;TV Cable;$ 1,012;0;$ 1,011.53;$ 0.00
2024;1;Open English Junior;LATAM;Peru;SEM-Brand;$ 2,509;684;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Peru;SEO;$ 0;104;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Peru;Direct;$ 0;50;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Peru;Agent Created;$ 0;104;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Peru;Unknown;$ 0;17;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Peru;Desktop LP Login;$ 0;2;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Peru;TV Cable;$ 27,367;0;$ 27,366.58;$ 0.00
2024;1;Open English Junior;LATAM;TV LATAM Excl Arg Mex;TV Cable;$ 0;0;$ 0.00;$ 232,414.16
